0010db1b167e8c7bfbcf9cd97a99a533,Single,Namalanga,Changata,2016-09-23 06:16:38 UTC,admin
0010db1b167e8c7bfbcf9cd97a99a533,Single,,,2016-09-23 06:16:38 UTC,admin
0010db1b167e8c7bfbcf9cd97a99aa2e,Single,,,2016-09-23 06:04:43 UTC,admin
0010db1b167e8c7bfbcf9cd97af9bf96,Single,,,2016-09-23 09:05:49 UTC,tumpale
0010db1b167e8c7bfbcf9cd97af9ce33,Single,,,2016-09-23 09:01:12 UTC,admin
0010db1b167e8c7bfbcf9cd97af9d489,Single,M'buka,Machinjili,2016-09-23 08:42:15 UTC,tumpale
0010db1b167e8c7bfbcf9cd97af9d489,Single,,,2016-09-23 08:42:15 UTC,tumpale
0010db1b167e8c7bfbcf9cd97af9deb1,Second Twin,Nkando,Nthiramanja,2016-09-23 08:34:03 UTC,tumpale
0010db1b167e8c7bfbcf9cd97af9deb1,Second Twin,,,2016-09-23 08:34:03 UTC,tumpale
0010db1b167e8c7bfbcf9cd97af9ed2f,Single,,,2016-09-23 08:04:25 UTC,admin
0010db1b167e8c7bfbcf9cd97af9fad7,Twin,,,2016-09-23 07:49:23 UTC,tumpale
0010db1b167e8c7bfbcf9cd97afa0955,Single,,,2016-09-23 07:43:15 UTC,admin
0010db1b167e8c7bfbcf9cd97afa111a,Single,Mandele,Ngabu,2016-09-23 07:38:14 UTC,admin
0010db1b167e8c7bfbcf9cd97afa111a,Single,,,2016-09-23 07:38:14 UTC,admin
0010db1b167e8c7bfbcf9cd97afa132a,Single,Malawa,Chakhadza,2016-09-23 07:32:28 UTC,admin
0010db1b167e8c7bfbcf9cd97afa132a,Single,,,2016-09-23 07:32:28 UTC,admin
0010db1b167e8c7bfbcf9cd97afa1c8c,Single,Machemba,Chimaliro,2016-09-23 07:23:12 UTC,admin
0010db1b167e8c7bfbcf9cd97afa1c8c,Single,,,2016-09-23 07:23:12 UTC,admin
0010db1b167e8c7bfbcf9cd97afa24ee,Single,Namphungo,Juma,2016-09-23 07:17:38 UTC,admin
