Couch ID,Type of Birth
bff67592c1532fa52d8c8afabe4b9084,Second Twin
bff67592c1532fa52d8c8afabe4b928d,Twin
bff67592c1532fa52d8c8afabe4bbd5a,Second Twin
bff67592c1532fa52d8c8afabe4bc4c4,Twin
bff67592c1532fa52d8c8afabe4c7737,Second Twin
bff67592c1532fa52d8c8afabe4c7ac2,Twin
bff67592c1532fa52d8c8afabe4d5d5c,Second Twin
bff67592c1532fa52d8c8afabe4d691d,Twin
bff67592c1532fa52d8c8afabe4d73e7,Second Twin
bff67592c1532fa52d8c8afabe4d7c0d,Twin
bff67592c1532fa52d8c8afabe4db3ef,Twin
bff67592c1532fa52d8c8afabe4e038c,Second Twin
bff67592c1532fa52d8c8afabe4e04e9,Twin
bff67592c1532fa52d8c8afabe4fa32b,Second Twin
bff67592c1532fa52d8c8afabe4faac3,Twin
bff67592c1532fa52d8c8afabe50c50e,Second Twin
bff67592c1532fa52d8c8afabe50d097,Twin
bff67592c1532fa52d8c8afabe538aae,""
bff67592c1532fa52d8c8afabe5430ec,Second Twin
bff67592c1532fa52d8c8afabe543d71,Twin
bff67592c1532fa52d8c8afabe5654ff,""
bff67592c1532fa52d8c8afabe56b6c2,Twin
bff67592c1532fa52d8c8afabe58aa9b,Twin
bff67592c1532fa52d8c8afabe591e05,Second Twin
bff67592c1532fa52d8c8afabe592044,Twin
bff67592c1532fa52d8c8afabe598029,""
bff67592c1532fa52d8c8afabe59dd53,Twin
bff67592c1532fa52d8c8afabe5abc1c,Twin
bff67592c1532fa52d8c8afabe5ae33d,Twin
bff67592c1532fa52d8c8afabe5c76cb,Second Twin
bff67592c1532fa52d8c8afabe5c7758,Twin
bff67592c1532fa52d8c8afabe5d46ab,Second Twin
bff67592c1532fa52d8c8afabe5d4a87,Twin
bff67592c1532fa52d8c8afabe5dafcc,Second Twin
bff67592c1532fa52d8c8afabe5db21c,Twin
bff67592c1532fa52d8c8afabee6523a,Second Twin
c0bce5edbc466f22407fd0043570bd00,Twin
c0bce5edbc466f22407fd00435af5de5,Second Twin
c0d593b4b2b330d05559dd1fefa95e45,Second Twin
