name,description
Facility number,Facility number
Birth Entry Number,Birth Entry Number
Birth Registration Number,Birth Registration Number
National ID Number, NRB national ID number
Old Birth Entry Number,Old Birth Entry Number
Old Birth Registration Number,Old Birth Registration Number
Old Facility Number,Old Facility Serial Number
Barcode Number,8 Digit Number Used on Certificate Barcode
NRIS ID, Primary Key of NRIS System
